الرواية,المؤلف,البلد,السنة,رابط,رابط آخر
الاغتيال والغضب,موفق خضر,العراق,1975,,
الدوامة,قمر كيلانى,سوريا,1983,,
الحصار,فوزية رشيد,البحرين,1990,,
فى بيتنا رجل,إحسان عبد القدوس,مصر,1957,,
رموز عصرية,خضير عبد الأمير,العراق,1977,,
ونصيبى من الافق,عبد القادر بن الشيخ,تونس,1984,,
مجنون الحكم,بنسالم حميش,المغرب,1990,,
الخماسية,أسماعيل فهد أسماعيل,الكويت,,,
الظل والصدى,يوسف حبشي الأشقر,لبنان,1989,,
ايام الرماد,محمد عز الدين التازي,المغرب,1994,,
رأس بيروت,ياسين رفاعيه,سوريا,1992,,
عين الشمس,خليفة حسين مصطفي,ليبيا,1983,,
لونجه والغول,زهور ونيسى,الجزائر,1993,,
صخب البحيره,محمد البساطي,مصر,1994,,
السائرون نياما,سعد مكاوي,مصر,1963,,
1952,جميل عطية إبراهيم,مصر,1990,,
عصافير الفجر,ليلى عسيران,لبنان,1991,,
المؤامرة,فرج الحوار,تونس,1992,,
المعلم على,عبد الكريم غلاب,المغرب,1971,,
قامات الزبد,إلياس فركوح,الأردن,1987,,
أجنحة التيه,جواد الصيداوي,لبنان,1993,,
جسر بنات يعقوب,حسن حميد,فلسطين,1999,,
الوسمية,عبد العزيز مشري,السعودية,1982,,
البشمورى,سلوى بكر,مصر,1998,,
باب الشمس,الياس خوري,لبنان,1998,,
التوت المر,محمد العروسي المطوي,تونس,1967,,
أغنية الماء والنار,عبد الله خليفة,البحرين,1988,,
الباب المفتوح,لطيفة الزيات,مصر,1960,,
مدن الملح (خماسية),عبد الرحمن منيف,السعودية,1984,,
